(node:10472) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/aiEligibilityService.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3086
- Network:       http://192.168.4.44:3086
✓ Ready in 1625ms

○ Compiling /view-as-test ...
 GET /view-as-test?member=8 200 in 6.2s (next.js: 5.7s, proxy.ts: 187ms, application-code: 286ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 497ms (next.js: 242ms, proxy.ts: 169ms, application-code: 86ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 362ms (next.js: 15ms, proxy.ts: 310ms, application-code: 38ms)
○ Compiling /api/match-setup-reminders ...
 GET /api/system-settings 200 in 1405ms (next.js: 6ms, proxy.ts: 1365ms, application-code: 34ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 1429ms (next.js: 18ms, proxy.ts: 1365ms, application-code: 47ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 1433ms (next.js: 27ms, proxy.ts: 1365ms, application-code: 42ms)
 GET /api/system-settings 200 in 43ms (next.js: 6ms, proxy.ts: 28ms, application-code: 9ms)
 GET /view-as-test?member=8&target=1 200 in 98ms (next.js: 34ms, proxy.ts: 5ms, application-code: 58ms)
 GET /view-as-test?member=8 200 in 54ms (next.js: 4ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/system-settings 200 in 61ms (next.js: 5ms, proxy.ts: 14ms, application-code: 43ms)
 GET /api/system-settings 200 in 68ms (next.js: 24ms, proxy.ts: 14ms, application-code: 30ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 48ms (next.js: 9ms, proxy.ts: 23ms, application-code: 16ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 50ms (next.js: 4ms, proxy.ts: 23ms, application-code: 24ms)
 GET /api/system-settings 200 in 41ms (next.js: 4ms, proxy.ts: 17ms, application-code: 20ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 63ms (next.js: 18ms, proxy.ts: 17ms, application-code: 27ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 73ms (next.js: 12ms, proxy.ts: 17ms, application-code: 43ms)
 GET / 200 in 431ms (next.js: 39ms, proxy.ts: 9ms, application-code: 383ms)
 GET /api/system-settings 200 in 32ms (next.js: 5ms, proxy.ts: 18ms, application-code: 9ms)
 GET /api/system-settings 200 in 28ms (next.js: 3ms, proxy.ts: 11ms, application-code: 14ms)
 GET /api/system-settings 200 in 31ms (next.js: 9ms, proxy.ts: 11ms, application-code: 10ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 28ms (next.js: 7ms, proxy.ts: 7ms, application-code: 14ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 32ms (next.js: 13ms, proxy.ts: 7ms, application-code: 11ms)
 GET /api/notification-template-history 500 in 25ms (next.js: 8ms, proxy.ts: 5ms, application-code: 11ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 21ms (next.js: 6ms, proxy.ts: 6ms, application-code: 10ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 57ms (next.js: 7ms, proxy.ts: 11ms, application-code: 38ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 61ms (next.js: 17ms, proxy.ts: 11ms, application-code: 33ms)
 POST /api/match-setup-reminders 200 in 74ms (next.js: 29ms, proxy.ts: 11ms, application-code: 33ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1195ms (next.js: 1127ms, proxy.ts: 10ms, application-code: 58ms)
 GET /api/system-settings 200 in 27ms (next.js: 5ms, proxy.ts: 9ms, application-code: 13ms)
 GET /api/system-settings 200 in 34ms (next.js: 12ms, proxy.ts: 9ms, application-code: 13ms)
 GET /api/system-settings 200 in 26ms (next.js: 2ms, proxy.ts: 12ms, application-code: 12ms)
 GET /api/system-settings 200 in 28ms (next.js: 7ms, proxy.ts: 12ms, application-code: 9ms)
⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /standings 200 in 1381ms (next.js: 1078ms, proxy.ts: 8ms, application-code: 294ms)
 GET /api/system-settings 200 in 154ms (next.js: 105ms, proxy.ts: 22ms, application-code: 27ms)
 GET /api/system-settings 200 in 156ms (next.js: 120ms, proxy.ts: 22ms, application-code: 14ms)
 GET /view-as-test?member=8 200 in 301ms (next.js: 32ms, proxy.ts: 11ms, application-code: 258ms)
 GET /api/system-settings 200 in 45ms (next.js: 11ms, proxy.ts: 17ms, application-code: 17ms)
 GET /api/system-settings 200 in 48ms (next.js: 16ms, proxy.ts: 17ms, application-code: 15ms)
 GET /api/system-settings 200 in 474ms (next.js: 74ms, proxy.ts: 360ms, application-code: 41ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 500ms (next.js: 91ms, proxy.ts: 360ms, application-code: 49ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 525ms (next.js: 101ms, proxy.ts: 360ms, application-code: 64ms)
 GET /matches 307 in 2.0s (next.js: 1648ms, proxy.ts: 7ms, application-code: 383ms)
 GET /api/system-settings 200 in 1601ms (next.js: 1419ms, proxy.ts: 19ms, application-code: 163ms)
 GET /scoring 200 in 1710ms (next.js: 1427ms, proxy.ts: 17ms, application-code: 265ms)
 GET /api/system-settings 200 in 85ms (next.js: 12ms, proxy.ts: 36ms, application-code: 38ms)
 GET /api/system-settings 200 in 92ms (next.js: 22ms, proxy.ts: 36ms, application-code: 34ms)
 GET /api/system-settings 200 in 96ms (next.js: 34ms, proxy.ts: 36ms, application-code: 27ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /view-as-test?member=8 200 in 303ms (next.js: 37ms, proxy.ts: 12ms, application-code: 255ms)
 GET /api/notification-templates?template_key=score_reminder 200 in 80ms (next.js: 14ms, proxy.ts: 51ms, application-code: 15ms)
 GET /view-as-test?member=2&target=1 200 in 46ms (next.js: 3ms, proxy.ts: 7ms, application-code: 36ms)
 GET /api/system-settings 200 in 57ms (next.js: 16ms, proxy.ts: 25ms, application-code: 16ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 80ms (next.js: 13ms, proxy.ts: 32ms, application-code: 34ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 84ms (next.js: 22ms, proxy.ts: 33ms, application-code: 30ms)
 GET /api/system-settings 200 in 70ms (next.js: 14ms, proxy.ts: 47ms, application-code: 9ms)
 GET /api/system-settings 200 in 28ms (next.js: 4ms, proxy.ts: 10ms, application-code: 15ms)
 GET /api/system-settings 200 in 35ms (next.js: 10ms, proxy.ts: 10ms, application-code: 15ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 44ms (next.js: 4ms, proxy.ts: 19ms, application-code: 21ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 47ms (next.js: 15ms, proxy.ts: 19ms, application-code: 14ms)
⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /captain-dashboard 200 in 2.0s (next.js: 1775ms, proxy.ts: 7ms, application-code: 254ms)
 GET /view-as-test?member=8 200 in 91ms (next.js: 30ms, proxy.ts: 9ms, application-code: 52ms)
 GET /api/system-settings 200 in 110ms (next.js: 58ms, proxy.ts: 20ms, application-code: 33ms)
 GET /api/system-settings 200 in 112ms (next.js: 72ms, proxy.ts: 20ms, application-code: 20ms)
 GET /api/system-settings 200 in 22ms (next.js: 3ms, proxy.ts: 14ms, application-code: 5ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1361ms (next.js: 1227ms, proxy.ts: 15ms, application-code: 118ms)
 GET /api/system-settings 200 in 46ms (next.js: 9ms, proxy.ts: 23ms, application-code: 14ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 89ms (next.js: 12ms, proxy.ts: 29ms, application-code: 49ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 97ms (next.js: 22ms, proxy.ts: 29ms, application-code: 47ms)
 GET /api/system-settings 200 in 78ms (next.js: 10ms, proxy.ts: 46ms, application-code: 22ms)
 GET /api/system-settings 200 in 29ms (next.js: 3ms, proxy.ts: 11ms, application-code: 15ms)
 GET /api/system-settings 200 in 31ms (next.js: 11ms, proxy.ts: 11ms, application-code: 10ms)
 GET /api/system-settings 200 in 34ms (next.js: 6ms, proxy.ts: 13ms, application-code: 15ms)
 GET /api/system-settings 200 in 38ms (next.js: 12ms, proxy.ts: 13ms, application-code: 12ms)
 GET /standings 200 in 70ms (next.js: 16ms, proxy.ts: 8ms, application-code: 46ms)
 GET /api/system-settings 200 in 30ms (next.js: 6ms, proxy.ts: 12ms, application-code: 13ms)
 GET /api/system-settings 200 in 37ms (next.js: 13ms, proxy.ts: 12ms, application-code: 12ms)
 GET /api/system-settings 200 in 28ms (next.js: 4ms, proxy.ts: 11ms, application-code: 13ms)
 GET /api/system-settings 200 in 31ms (next.js: 10ms, proxy.ts: 11ms, application-code: 10ms)
 GET /matches 307 in 85ms (next.js: 16ms, proxy.ts: 5ms, application-code: 63ms)
 GET /scoring 200 in 79ms (next.js: 16ms, proxy.ts: 5ms, application-code: 57ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /api/system-settings 200 in 42ms (next.js: 8ms, proxy.ts: 11ms, application-code: 23ms)
 GET /api/system-settings 200 in 45ms (next.js: 17ms, proxy.ts: 11ms, application-code: 17ms)
 GET /api/system-settings 200 in 47ms (next.js: 22ms, proxy.ts: 11ms, application-code: 14ms)
 GET /captain-dashboard 200 in 36ms (next.js: 4ms, proxy.ts: 9ms, application-code: 23ms)
 GET /api/system-settings 200 in 33ms (next.js: 8ms, proxy.ts: 15ms, application-code: 11ms)
 GET /api/system-settings 200 in 38ms (next.js: 4ms, proxy.ts: 16ms, application-code: 18ms)
 GET /api/system-settings 200 in 41ms (next.js: 15ms, proxy.ts: 16ms, application-code: 10ms)
 GET /view-as-test?member=1&target=1 200 in 67ms (next.js: 4ms, proxy.ts: 13ms, application-code: 50ms)
 GET /api/system-settings 200 in 29ms (next.js: 9ms, proxy.ts: 8ms, application-code: 13ms)
 GET /api/system-settings 200 in 37ms (next.js: 19ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 48ms (next.js: 5ms, proxy.ts: 27ms, application-code: 15ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 43ms (next.js: 4ms, proxy.ts: 26ms, application-code: 12ms)
⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /player-dashboard 200 in 3.3s (next.js: 2.8s, proxy.ts: 10ms, application-code: 530ms)
 GET /view-as-test?member=8 200 in 93ms (next.js: 36ms, proxy.ts: 5ms, application-code: 51ms)
 GET /api/system-settings 200 in 146ms (next.js: 98ms, proxy.ts: 15ms, application-code: 33ms)
 GET /api/system-settings 200 in 148ms (next.js: 115ms, proxy.ts: 15ms, application-code: 18ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1541ms (next.js: 1415ms, proxy.ts: 22ms, application-code: 104ms)
 GET /api/system-settings 200 in 68ms (next.js: 16ms, proxy.ts: 31ms, application-code: 21ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 113ms (next.js: 24ms, proxy.ts: 39ms, application-code: 50ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 117ms (next.js: 33ms, proxy.ts: 39ms, application-code: 45ms)
 GET /api/system-settings 200 in 94ms (next.js: 12ms, proxy.ts: 53ms, application-code: 29ms)
 GET /api/system-settings 200 in 32ms (next.js: 7ms, proxy.ts: 9ms, application-code: 16ms)
 GET /api/system-settings 200 in 38ms (next.js: 14ms, proxy.ts: 9ms, application-code: 15ms)
 GET /player-dashboard 200 in 47ms (next.js: 8ms, proxy.ts: 11ms, application-code: 28ms)
 GET /api/system-settings 200 in 52ms (next.js: 6ms, proxy.ts: 14ms, application-code: 32ms)
 GET /standings 200 in 284ms (next.js: 79ms, proxy.ts: 13ms, application-code: 192ms)
 GET /api/system-settings 200 in 37ms (next.js: 6ms, proxy.ts: 10ms, application-code: 22ms)
 GET /api/system-settings 200 in 40ms (next.js: 18ms, proxy.ts: 10ms, application-code: 13ms)
 GET /api/system-settings 200 in 38ms (next.js: 5ms, proxy.ts: 15ms, application-code: 18ms)
 GET /api/system-settings 200 in 41ms (next.js: 16ms, proxy.ts: 16ms, application-code: 9ms)
 GET /matches 307 in 154ms (next.js: 83ms, proxy.ts: 8ms, application-code: 64ms)
 GET /scoring 200 in 92ms (next.js: 27ms, proxy.ts: 7ms, application-code: 58ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /api/system-settings 200 in 56ms (next.js: 7ms, proxy.ts: 15ms, application-code: 35ms)
 GET /api/system-settings 200 in 62ms (next.js: 21ms, proxy.ts: 15ms, application-code: 26ms)
 GET /api/system-settings 200 in 67ms (next.js: 30ms, proxy.ts: 15ms, application-code: 22ms)
 GET /player-dashboard 200 in 47ms (next.js: 6ms, proxy.ts: 17ms, application-code: 24ms)
 GET /api/system-settings 200 in 41ms (next.js: 8ms, proxy.ts: 24ms, application-code: 10ms)
 GET /player-dashboard 200 in 64ms (next.js: 4ms, proxy.ts: 11ms, application-code: 48ms)
 GET /api/system-settings 200 in 50ms (next.js: 9ms, proxy.ts: 14ms, application-code: 27ms)
 GET /api/system-settings 200 in 56ms (next.js: 22ms, proxy.ts: 14ms, application-code: 20ms)
ai_quality_capture {
  event: 'capture_failed',
  stage: 'persistence',
  assistant_version: 'LMS-0729',
  time: '2026-09-09T22:28:23.267Z',
  operation: 'capture_ai_quality',
  correlation_id: '2a3a5633-d9eb-4bb7-953b-c3d48da1f1a8',
  origin: 'player_interface',
  result_shape: 'answer',
  evidence_count: 0,
  reason: 'RPC_FAILED',
  sqlstate: null,
  attempt: 1,
  duration_ms: 10,
  commit_status: 'UNKNOWN',
  payload_bytes: 721,
  metadata_count: 4,
  reference_count: 0,
  timings: {
    build_ms: 0,
    invocation_start_ms: 0,
    rpc_ms: 9,
    acknowledgement_ms: null,
    deadline_ms: null,
    reconciliation_ms: 0,
    retry_ms: 0,
    total_ms: 10
  }
}
 POST /api/ask-lwr 200 in 1707ms (next.js: 1561ms, proxy.ts: 5ms, application-code: 140ms)
ai_quality_capture {
  event: 'capture_failed',
  stage: 'persistence',
  assistant_version: 'LMS-0729',
  time: '2026-09-09T22:28:24.170Z',
  operation: 'capture_ai_quality',
  correlation_id: 'd17c9947-7a41-4e8d-9164-f559883e1829',
  origin: 'player_interface',
  result_shape: 'protected',
  evidence_count: 0,
  reason: 'RPC_FAILED',
  sqlstate: null,
  attempt: 1,
  duration_ms: 21,
  commit_status: 'UNKNOWN',
  payload_bytes: 749,
  metadata_count: 4,
  reference_count: 0,
  timings: {
    build_ms: 0,
    invocation_start_ms: 0,
    rpc_ms: 20,
    acknowledgement_ms: null,
    deadline_ms: null,
    reconciliation_ms: 0,
    retry_ms: 0,
    total_ms: 21
  }
}
 POST /api/ask-lwr 200 in 51ms (next.js: 4ms, proxy.ts: 8ms, application-code: 39ms)
 GET /view-as-test?member=8&target=1 200 in 265ms (next.js: 69ms, proxy.ts: 7ms, application-code: 189ms)
 GET /view-as-test?member=8 200 in 172ms (next.js: 11ms, proxy.ts: 12ms, application-code: 149ms)
 GET /api/system-settings 200 in 88ms (next.js: 29ms, proxy.ts: 36ms, application-code: 23ms)
 GET /api/system-settings 200 in 94ms (next.js: 40ms, proxy.ts: 36ms, application-code: 18ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 99ms (next.js: 22ms, proxy.ts: 49ms, application-code: 28ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 98ms (next.js: 27ms, proxy.ts: 47ms, application-code: 24ms)
 GET /api/system-settings 200 in 1428ms (next.js: 77ms, proxy.ts: 1309ms, application-code: 42ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 1462ms (next.js: 99ms, proxy.ts: 1309ms, application-code: 54ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 1473ms (next.js: 90ms, proxy.ts: 1309ms, application-code: 74ms)
 GET /api/system-settings 200 in 47ms (next.js: 7ms, proxy.ts: 29ms, application-code: 10ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 4.9s (next.js: 4.5s, proxy.ts: 13ms, application-code: 427ms)
 GET /view-as-test?member=8 200 in 93ms (next.js: 24ms, proxy.ts: 10ms, application-code: 60ms)
 GET /api/system-settings 200 in 30ms (next.js: 3ms, proxy.ts: 11ms, application-code: 15ms)
 GET /api/system-settings 200 in 33ms (next.js: 13ms, proxy.ts: 11ms, application-code: 9ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000001 200 in 927ms (next.js: 898ms, proxy.ts: 7ms, application-code: 23ms)
 GET /api/system-settings 200 in 42ms (next.js: 12ms, proxy.ts: 11ms, application-code: 20ms)
 GET /api/system-settings 200 in 48ms (next.js: 19ms, proxy.ts: 11ms, application-code: 18ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 72ms (next.js: 17ms, proxy.ts: 36ms, application-code: 20ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 51ms (next.js: 5ms, proxy.ts: 36ms, application-code: 10ms)
 GET /api/system-settings 200 in 98ms (next.js: 8ms, proxy.ts: 63ms, application-code: 27ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 128ms (next.js: 17ms, proxy.ts: 63ms, application-code: 48ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 132ms (next.js: 24ms, proxy.ts: 63ms, application-code: 45ms)
 GET /api/system-settings 200 in 47ms (next.js: 12ms, proxy.ts: 22ms, application-code: 13ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 1624ms (next.js: 1163ms, proxy.ts: 8ms, application-code: 453ms)
 GET /api/system-settings 200 in 28ms (next.js: 3ms, proxy.ts: 12ms, application-code: 13ms)
 GET /api/system-settings 200 in 30ms (next.js: 8ms, proxy.ts: 12ms, application-code: 9ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000001 200 in 18ms (next.js: 3ms, proxy.ts: 6ms, application-code: 9ms)
 GET /api/system-settings 200 in 35ms (next.js: 8ms, proxy.ts: 11ms, application-code: 15ms)
 GET /api/system-settings 200 in 37ms (next.js: 15ms, proxy.ts: 11ms, application-code: 11ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 46ms (next.js: 4ms, proxy.ts: 29ms, application-code: 13ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 43ms (next.js: 9ms, proxy.ts: 16ms, application-code: 18ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 16ms (next.js: 1837µs, proxy.ts: 5ms, application-code: 9ms)
 GET /view-as-test?member=8&target=1 200 in 92ms (next.js: 31ms, proxy.ts: 12ms, application-code: 49ms)
 GET /api/system-settings 200 in 44ms (next.js: 4ms, proxy.ts: 13ms, application-code: 27ms)
 GET /api/system-settings 200 in 47ms (next.js: 14ms, proxy.ts: 13ms, application-code: 20ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 43ms (next.js: 8ms, proxy.ts: 17ms, application-code: 19ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 45ms (next.js: 13ms, proxy.ts: 17ms, application-code: 15ms)
 GET / 200 in 114ms (next.js: 39ms, proxy.ts: 8ms, application-code: 68ms)
 GET /api/system-settings 200 in 27ms (next.js: 3ms, proxy.ts: 12ms, application-code: 12ms)
 GET /api/system-settings 200 in 33ms (next.js: 10ms, proxy.ts: 12ms, application-code: 10ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 26ms (next.js: 7ms, proxy.ts: 7ms, application-code: 12ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 29ms (next.js: 14ms, proxy.ts: 7ms, application-code: 9ms)
 GET /api/notification-template-history 500 in 31ms (next.js: 7ms, proxy.ts: 8ms, application-code: 16ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 29ms (next.js: 5ms, proxy.ts: 10ms, application-code: 14ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 35ms (next.js: 10ms, proxy.ts: 8ms, application-code: 17ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 67ms (next.js: 2ms, proxy.ts: 6ms, application-code: 59ms)
 POST /api/match-setup-reminders 200 in 75ms (next.js: 45ms, proxy.ts: 6ms, application-code: 23ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1162ms (next.js: 1097ms, proxy.ts: 8ms, application-code: 58ms)
 GET /api/system-settings 200 in 33ms (next.js: 4ms, proxy.ts: 12ms, application-code: 17ms)
 GET /api/system-settings 200 in 36ms (next.js: 14ms, proxy.ts: 12ms, application-code: 10ms)
 GET /api/system-settings 200 in 34ms (next.js: 2ms, proxy.ts: 11ms, application-code: 21ms)
 GET /api/system-settings 200 in 40ms (next.js: 12ms, proxy.ts: 11ms, application-code: 18ms)
 GET /standings 200 in 79ms (next.js: 27ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/system-settings 200 in 28ms (next.js: 3ms, proxy.ts: 10ms, application-code: 15ms)
 GET /api/system-settings 200 in 31ms (next.js: 9ms, proxy.ts: 10ms, application-code: 13ms)
 GET /api/system-settings 200 in 29ms (next.js: 4ms, proxy.ts: 12ms, application-code: 13ms)
 GET /api/system-settings 200 in 34ms (next.js: 12ms, proxy.ts: 12ms, application-code: 10ms)
 GET /matches 307 in 80ms (next.js: 23ms, proxy.ts: 6ms, application-code: 51ms)
 GET /scoring 200 in 86ms (next.js: 28ms, proxy.ts: 5ms, application-code: 53ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /api/system-settings 200 in 32ms (next.js: 8ms, proxy.ts: 10ms, application-code: 15ms)
 GET /api/system-settings 200 in 34ms (next.js: 16ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/system-settings 200 in 42ms (next.js: 24ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/notification-templates?template_key=score_reminder 200 in 20ms (next.js: 2ms, proxy.ts: 6ms, application-code: 13ms)
 GET /view-as-test?member=2&target=1 200 in 45ms (next.js: 2ms, proxy.ts: 5ms, application-code: 37ms)
 GET /api/system-settings 200 in 35ms (next.js: 5ms, proxy.ts: 11ms, application-code: 18ms)
 GET /api/system-settings 200 in 41ms (next.js: 14ms, proxy.ts: 11ms, application-code: 16ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 35ms (next.js: 9ms, proxy.ts: 11ms, application-code: 15ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 37ms (next.js: 4ms, proxy.ts: 11ms, application-code: 22ms)
 GET /captain-dashboard 200 in 346ms (next.js: 267ms, proxy.ts: 5ms, application-code: 74ms)
 GET /api/system-settings 200 in 29ms (next.js: 6ms, proxy.ts: 9ms, application-code: 14ms)
 GET /api/system-settings 200 in 36ms (next.js: 12ms, proxy.ts: 9ms, application-code: 15ms)
